PRODUCTO;FECHA DE FABRICACION;CANTIDAD;LOTE;REACTOR;ESTADO;COMENTARIOS
RESIFLEX 650 (SE);6/04/2024;10737,04;66979;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);5/04/2024;10737,04;66968;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);1/04/2024;10737,04;66911;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);23/03/2024;10737,04;66899;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);22/03/2024;10737,04;66888;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);19/03/2024;10737,04;66844;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);11/03/2024;10737,04;66720;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);9/03/2024;5954,34;66701;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);8/03/2024;5954,34;66677;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);5/03/2024;10737,04;66632;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);4/03/2024;10737,04;66624;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);2/03/2024;5954,34;66605;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);2/03/2024;10737,04;66610;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);1/03/2024;5954,34;66573;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);1/03/2024;5954,34;66592;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);28/02/2024;5954,34;66558;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);23/02/2024;5954,34;66499;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);19/02/2024;10725,00;66441;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);17/02/2024;5954,34;66416;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);17/02/2024;10725,00;66421;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);16/02/2024;5954,34;66402;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);14/02/2024;10725,00;66377;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);4/02/2024;10737,04;66238;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);3/02/2024;10725,00;66222;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);30/01/2024;5954,34;66148;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);30/01/2024;10737,04;66154;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);29/01/2024;5954,34;66125;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);27/01/2024;10737,04;66116;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);25/01/2024;10725,00;66081;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);25/01/2024;10725,00;66062;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);25/01/2024;10725,00;66062;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);24/01/2024;10725,00;66062;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);21/01/2024;10737,04;66015;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);20/01/2024;12545,00;66005;REACTOR 7;NC;Viscosidad fuera de especificaciï¿½n 1.500 cP (3.000 - 7.000 cP)
RESIFLEX 650 (SE);19/01/2024;5948,00;65984;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);19/01/2024;10725,00;65989;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);18/01/2024;5954,34;65971;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);18/01/2024;10725,00;65976;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);17/01/2024;5954,34;65957;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);17/01/2024;10725,00;65962;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);15/01/2024;10737,04;65931;REACTOR 7;NC;Producto gelado no permite medir propiedades
RESIFLEX 650 (SE);14/01/2024;5954,34;65916;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);14/01/2024;10737,04;65921;REACTOR 7;NC;Producto gelado no permite medir propiedades
RESIFLEX 650 (SE);12/01/2024;10737,04;65896;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);10/01/2024;10737,04;65867;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);9/01/2024;10737,04;65850;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);22/12/2023;10737,04;65832;REACTOR 8;OK;NULL
RESIFLEX 650 (SE);21/12/2023;10737,04;65820;REACTOR 8;NC;Apariencia
RESIFLEX 650 (SE);20/12/2023;10737,04;65799;REACTOR 8;NC;Apariencia
RESIFLEX 650 (SE);17/12/2023;10737,04;65747;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);15/12/2023;10737,04;65721;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);8/12/2023;10737,04;65605;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);7/12/2023;10737,04;65583;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);6/12/2023;5954,34;65561;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);1/12/2023;10737,04;65476;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);25/11/2023;5954,34;65398;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);25/11/2023;10737,04;65402;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);24/11/2023;10737,04;65391;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);22/11/2023;5954,34;65348;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);21/11/2023;10737,04;65340;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);20/11/2023;10737,04;65327;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);19/11/2023;5954,34;65315;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);16/11/2023;5954,34;65268;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);15/11/2023;5954,34;65253;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);14/11/2023;5954,34;65239;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);14/11/2023;10737,04;65242;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);10/11/2023;10737,04;65200;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);5/11/2023;10737,04;65132;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);1/11/2023;5954,34;65064;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);28/10/2023;10737,04;65038;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);26/10/2023;10737,04;65006;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);25/10/2023;5954,34;64984;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);25/10/2023;10737,04;64989;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);23/10/2023;10737,04;64965;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);23/10/2023;10737,04;64968;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);21/10/2023;10737,04;64944;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);20/10/2023;5954,34;64925;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);20/10/2023;10737,04;64929;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);19/10/2023;5954,34;64915;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);18/10/2023;10737,04;64907;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);16/10/2023;10737,04;64881;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);15/10/2023;10737,04;64874;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);14/10/2023;10737,04;64864;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);13/10/2023;10737,04;64856;REACTOR 7;NC;Presenta una apariencia en gel viscoso no se deja medir
RESIFLEX 650 (SE);11/10/2023;10737,04;64829;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);9/10/2023;5954,34;64791;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);8/10/2023;5954,34;64781;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);6/10/2023;5954,34;64734;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);6/10/2023;5954,34;64734;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);5/10/2023;5954,34;64734;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);2/10/2023;5954,34;64680;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);1/10/2023;5954,34;64670;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);29/09/2023;5954,34;64651;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);27/09/2023;5948,00;64622;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);25/09/2023;10725,00;64591;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);18/09/2023;10737,04;64500;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);14/09/2023;5954,34;64459;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);14/09/2023;10737,04;64466;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);10/09/2023;10737,04;64408;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);8/09/2023;5954,34;64377;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);6/09/2023;10737,04;64359;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);6/09/2023;5954,34;64361;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);5/09/2023;10737,04;64355;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);30/08/2023;10737,04;64280;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);29/08/2023;10737,04;64264;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);28/08/2023;5954,34;64244;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);28/08/2023;10737,04;64249;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);26/08/2023;5954,34;64235;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);18/08/2023;10737,04;64155;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);17/08/2023;5954,34;64139;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);17/08/2023;10737,04;64144;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);12/08/2023;5954,34;64081;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);11/08/2023;10737,04;64075;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);10/08/2023;3022,50;64058;REACTOR 4;NC;Apariencia con grumos
RESIFLEX 650 (SE);10/08/2023;10737,04;64059;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);8/08/2023;10737,04;64021;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);1/08/2023;10737,04;63958;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);26/07/2023;10737,04;63880;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);25/07/2023;10737,04;63869;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);19/07/2023;5954,34;63810;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);18/07/2023;5954,34;63790;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);15/07/2023;5954,34;63764;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);14/07/2023;10737,04;63756;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);7/07/2023;5954,34;63678;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);5/07/2023;10737,04;63659;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);4/07/2023;5954,34;63639;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);29/06/2023;10737,04;63613;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);28/06/2023;5954,34;63597;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);26/06/2023;10737,04;63575;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);23/06/2023;10737,04;63564;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);21/06/2023;5954,34;63532;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);17/06/2023;5954,34;63504;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);15/06/2023;10737,04;63487;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);14/06/2023;5954,34;63472;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);13/06/2023;10737,04;63461;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);13/06/2023;10737,04;63463;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);1/06/2023;10737,04;63341;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);19/05/2023;5954,34;63208;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);17/05/2023;10737,04;63181;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);16/05/2023;5954,34;63161;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);12/05/2023;10737,04;63133;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);11/05/2023;5954,34;63113;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);11/05/2023;10737,04;63120;REACTOR 11;OK;NULL
RESIFLEX 650 (SE);10/05/2023;5954,34;63102;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);6/05/2023;10737,04;63062;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);2/05/2023;10737,04;63004;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);25/04/2023;10737,04;62950;REACTOR 7;OK;NULL
RESIFLEX 650 (SE);20/04/2023;5954,34;62896;REACTOR 1;OK;NULL
RESIFLEX 650 (SE);13/04/2023;5954,34;62822;REACTOR 1;OK;NULL
